Server;Tagname;Value;Timestamp;Questionable;Annotated;Substituted
pi.vkg.ee;GGS5.GG12.TDT8;812.0576;15.03.2019 00:06:53;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;814.7928;15.03.2019 00:06:58;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;816.8541;15.03.2019 00:09:03;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;819.2721;15.03.2019 00:09:08;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;819.2721;15.03.2019 00:10:13;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;821.6108;15.03.2019 00:10:18;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;828.4684;15.03.2019 00:21:18;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;824.782;15.03.2019 00:23:33;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;826.4865;15.03.2019 00:40:03;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;826.8829;15.03.2019 00:41:08;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;824.7423;15.03.2019 00:41:13;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;821.0558;15.03.2019 00:51:08;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;821.8487;15.03.2019 00:54:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;824.1477;15.03.2019 00:54:33;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;827.2793;15.03.2019 01:08:08;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;825.1387;15.03.2019 01:11:23;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;826.8829;15.03.2019 01:18:03;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;831.0847;15.03.2019 01:23:38;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;832.2343;15.03.2019 01:47:53;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;827.3982;15.03.2019 01:51:13;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;827.3586;15.03.2019 01:55:38;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;829.1027;15.03.2019 02:02:33;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;831.9171;15.03.2019 02:05:48;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;830.0541;15.03.2019 02:06:58;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;827.4775;15.03.2019 02:07:03;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;828.3495;15.03.2019 02:19:08;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;825.9315;15.03.2019 02:32:23;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;824.9009;15.03.2019 02:42:18;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;825.0198;15.03.2019 02:49:58;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;828.7064;15.03.2019 03:05:48;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;832.9081;15.03.2019 03:12:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;830.1334;15.03.2019 03:21:13;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;831.2829;15.03.2019 03:25:38;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;827.5171;15.03.2019 03:25:43;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;827.5171;15.03.2019 03:26:43;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;824.4252;15.03.2019 03:26:48;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;822.3243;15.03.2019 03:28:58;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;825.9711;15.03.2019 03:29:03;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;828.3892;15.03.2019 03:33:23;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;831.1243;15.03.2019 03:33:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;827.3982;15.03.2019 03:42:13;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;826.7243;15.03.2019 03:45:33;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;824.1477;15.03.2019 03:45:38;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;820.7387;15.03.2019 04:04:43;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;816.8541;15.03.2019 04:21:13;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;816.973;15.03.2019 04:27:53;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;821.6505;15.03.2019 04:27:58;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;821.6505;15.03.2019 04:28:58;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;823.9892;15.03.2019 04:29:03;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;823.9892;15.03.2019 04:30:03;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;821.4523;15.03.2019 04:30:08;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;821.4523;15.03.2019 04:31:13;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;818.8757;15.03.2019 04:31:18;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;817.2505;15.03.2019 04:33:23;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;820.6595;15.03.2019 04:33:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;820.6595;15.03.2019 04:34:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;826.5261;15.03.2019 04:34:33;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;826.5261;15.03.2019 04:35:38;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;831.3622;15.03.2019 04:35:43;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;831.3622;15.03.2019 04:36:43;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;826.5261;15.03.2019 04:36:48;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;826.5261;15.03.2019 04:37:48;False;Not Annotated;False
